has_profile_picture,username_digit_ratio,username_length,has_bio,bio_length,bio_url_count,has_external_url,is_verified,account_age_days,posts_count,posts_per_day,avg_post_likes,avg_post_comments,avg_post_shares,story_frequency,live_frequency,followers_count,following_count,follower_following_ratio,mutual_friends_ratio,fake_follower_pct,avg_daily_posts,posting_hour_variance,night_posting_ratio,weekend_posting_ratio,hashtag_avg,mention_avg,caption_length_avg,emoji_usage_ratio,uses_automation,content_diversity_score,repost_ratio,original_content_ratio,spam_keyword_count,link_in_posts_ratio,sentiment_variance,engagement_rate,comment_to_like_ratio,profile_completeness,response_time_hours,label
1,0.13718586961403162,10,0,93,0,1,0,3504,70,0.02,26,21,2,0.42869356981073914,0.10180661996364467,284,272,1.0441,0.36070638676225547,0.15867163091830322,2.629114612277009,13.09734265674711,0.23818065898258894,0.40178654761584165,3,1,90,0.5268711981726956,0,0.7737796057109336,0.4255834263524879,0.525903534921748,0,0.3323149270935415,0.8604212770848785,0.1843129365286405,0.3097263023995353,0.6265785289296355,12.528086511945478,0
1,0.5786727891808068,17,0,0,1,0,0,98,808,8.2449,1,2,1,0.114311176688834,0.01480788212547368,14,720,0.0194,0.19494984166084883,0.8892786978560169,52.24895629593328,1.329094229527707,0.2726537094286569,0.5083747577301326,22,21,1,0.033021915663743566,1,0.11517491543777743,0.8836518016571185,0.15952947026568218,3,0.9188653170777388,0.1792390165518158,0.12494912230913288,0.04553148674112773,0.14807118908166492,0.11356936134926843,1
1,0.07267384506289508,21,1,0,1,1,0,3358,35,0.0104,168,9,2,0.23698873302909532,0.0010254786123702472,71,258,0.2752,0.6469644252571114,0.007229836316278713,1.5394355923063476,7.130328366984199,0.14651733836566336,0.2963821066768012,9,7,36,0.4070461522278228,0,0.5641937198804584,0.24378128427337784,0.7902473837433799,0,0.06183316255560402,0.28490696830047824,0.14449331998840104,0.0353242337410895,0.6790217270493104,10.233212115412897,0
1,0.7511921146047015,9,0,49,1,1,0,159,309,1.9434,6,4,19,0.1732054520119072,0.004309707958210733,1271,3768,0.3373,0.20780851069325706,0.3957561895736277,9.966502069532009,5.991634032154499,0.08274535719469217,0.7485079699776719,19,7,12,0.045951150404820756,0,0.37396882842325635,0.48326077362470643,0.2743829397614596,0,0.6618852415491845,0.17667184491048135,0.1889245988406038,0.1553376462458955,0.150346591806501,2.226486911712344,1
0,0.9158091786497164,19,0,0,1,0,0,170,231,1.3588,6,3,1,0.0019672655223683636,0.003973540441069254,44,1038,0.0424,0.032191777669699106,0.536787060276109,79.06586954163024,0.5121757479659206,0.21018839392335947,0.5360037142216327,33,15,26,0.17907880593596162,1,0.014412510262051608,0.7775903576938039,0.17232044103716998,2,0.7311619100681273,0.12343779708427585,0.09659315284395999,0.10744928286947067,0.33965926917606426,0.1942878324796514,1
1,0.14272206857221498,17,1,95,0,1,0,3049,2023,0.6635,43,1,2,0.032849173133024455,0.19227657658385444,4667,434,10.7535,0.4956480924631057,0.22750937996174644,1.756697307192506,11.939945026850047,0.18270851288575785,0.27056408546135075,4,1,163,0.18843301759652178,0,0.5485887658601792,0.07841461628811677,0.5251091728145484,0,0.15235576316135943,0.6308002405230486,0.19384037363714646,0.1800298262825796,0.6694814083271656,41.66371249930215,0
0,0.08431363835620972,18,1,24,0,0,0,335,910,2.7164,12,8,2,0.28145199195592435,0.0487646671724148,1910,321,5.9502,0.7987155143173738,0.40506428979095077,2.8441434414791704,22.33690968815432,0.16144414741787655,0.41246746425258096,6,0,214,0.48042991858291856,0,0.6093259217533571,0.11896550655683699,0.6667039298967495,0,0.18678803801109617,0.3361507531294219,0.3330095822738157,0.2329397257460497,0.8563841660361485,19.974223155504905,0
1,0.17545411245178755,19,0,146,1,0,0,1547,106,0.0685,4,11,39,0.2295804521953546,0.017362561968159388,12912,383,33.7128,0.48056220266709665,0.13702959156636507,1.2167238259636803,20.87527417673794,0.047665081199566486,0.24249221037857238,1,6,66,0.5123167637554201,0,0.8036371092511062,0.527693740985046,0.8040962228654376,1,0.14902295305313112,0.3240015237504478,0.21151392941126346,0.3029758240547808,0.7630509550896509,3.8688163278048027,0
1,0.039889284296769,19,1,0,1,1,0,2846,25,0.0088,2,12,3,0.1832902698673648,0.0707714582311748,943,72,13.0972,0.23008135777002306,0.17213952089673076,1.5438949947173968,19.557360122380153,0.27270700599510367,0.5289597764875172,6,1,106,0.4461834057059329,0,0.6285561594654139,0.2114766098435494,0.5515342583548004,0,0.22432273809670003,0.875606786703127,0.3228171801242989,0.054500648952460796,0.8369466381080891,7.587696867589305,0
1,0.2747026225847457,18,0,119,1,0,0,1537,39,0.0254,79,27,9,0.5990090784716783,0.028529188307883094,554,561,0.9875,0.7429298584711719,0.13954927306157489,3.619811277268598,19.10026351643841,0.30505368106398506,0.4128738839012047,8,7,98,0.230858188048547,0,0.6150723454417947,0.07436504202720347,0.6594586725848128,0,0.1603496134828305,0.8705249791769725,0.2550887288365157,0.20387982745683558,0.6624500878452414,15.371313037189964,0
